doy,date,time,air_temp,temp,depth,macro,site 
152,2023-06-01,19:00:00,20.34166667,21.521,0.5,0,SP_2
152,2023-06-01,20:00:00,19.82166667,21.712,0.5,0,SP_2
152,2023-06-01,21:00:00,19.93166667,21.6165,0.5,0,SP_2
152,2023-06-01,22:00:00,19.83833333,21.11525,0.5,0,SP_2
152,2023-06-01,23:00:00,19.09833333,21.5925,0.5,0,SP_2
153,2023-06-02,0:00:00,18.93166667,21.5925,0.5,0,SP_2
153,2023-06-02,1:00:00,19.11166667,21.47325,0.5,0,SP_2
153,2023-06-02,2:00:00,19.22666667,21.2585,0.5,0,SP_2
153,2023-06-02,3:00:00,19.305,21.306,0.5,0,SP_2
153,2023-06-02,4:00:00,19.05833333,21.139,0.5,0,SP_2
153,2023-06-02,5:00:00,18.99,21.18675,0.5,0,SP_2
153,2023-06-02,6:00:00,19.345,21.2345,0.5,0,SP_2
153,2023-06-02,7:00:00,20.45833333,21.33,0.5,0,SP_2
153,2023-06-02,8:00:00,22.43,21.521,0.5,0,SP_2
153,2023-06-02,9:00:00,22.44666667,22.405,0.5,0,SP_2
153,2023-06-02,10:00:00,21.67666667,22.45325,0.5,0,SP_2
153,2023-06-02,11:00:00,21.07166667,22.4775,0.5,0,SP_2
153,2023-06-02,12:00:00,22.24,22.741,0.5,0,SP_2
153,2023-06-02,13:00:00,23.70333333,23.5805,0.5,0,SP_2
153,2023-06-02,14:00:00,25.03166667,23.55675,0.5,0,SP_2
153,2023-06-02,15:00:00,25.68833333,23.36425,0.5,0,SP_2
153,2023-06-02,16:00:00,26.435,23.34,0.5,0,SP_2
153,2023-06-02,17:00:00,26.24666667,23.292,0.5,0,SP_2
153,2023-06-02,18:00:00,24.96333333,23.028,0.5,0,SP_2
153,2023-06-02,19:00:00,22.63833333,22.884,0.5,0,SP_2
153,2023-06-02,20:00:00,21.02333333,22.64475,0.5,0,SP_2
153,2023-06-02,21:00:00,20.04166667,22.525,0.5,0,SP_2
153,2023-06-02,22:00:00,19.55166667,22.357,0.5,0,SP_2
153,2023-06-02,23:00:00,19.18166667,22.429,0.5,0,SP_2
154,2023-06-03,0:00:00,18.87333333,22.23775,0.5,0,SP_2
154,2023-06-03,1:00:00,18.36333333,22.238,0.5,0,SP_2
154,2023-06-03,2:00:00,17.075,22.142,0.5,0,SP_2
154,2023-06-03,3:00:00,16.96333333,22.046,0.5,0,SP_2
154,2023-06-03,4:00:00,17.12833333,21.9985,0.5,0,SP_2
154,2023-06-03,5:00:00,18.11166667,21.927,0.5,0,SP_2
154,2023-06-03,6:00:00,20.14833333,21.879,0.5,0,SP_2
154,2023-06-03,7:00:00,21.83,21.951,0.5,0,SP_2
154,2023-06-03,8:00:00,23.17,22.42925,0.5,0,SP_2
154,2023-06-03,9:00:00,24.65166667,23.172,0.5,0,SP_2
154,2023-06-03,10:00:00,26.28,23.74925,0.5,0,SP_2
154,2023-06-03,11:00:00,27.24333333,24.3515,0.5,0,SP_2
154,2023-06-03,12:00:00,27.36166667,24.521,0.5,0,SP_2
154,2023-06-03,13:00:00,26.91333333,24.23175,0.5,0,SP_2
154,2023-06-03,14:00:00,24.98666667,23.98975,0.5,0,SP_2
154,2023-06-03,15:00:00,20.45666667,24.11025,0.5,0,SP_2
154,2023-06-03,16:00:00,22.52,23.72525,0.5,0,SP_2
154,2023-06-03,17:00:00,23.53833333,23.9415,0.5,0,SP_2
154,2023-06-03,18:00:00,22.195,23.86925,0.5,0,SP_2
154,2023-06-03,19:00:00,20.10166667,23.65275,0.5,0,SP_2
154,2023-06-03,20:00:00,19.13333333,23.268,0.5,0,SP_2
154,2023-06-03,21:00:00,17.955,23.196,0.5,0,SP_2
154,2023-06-03,22:00:00,17.73166667,23.22,0.5,0,SP_2
154,2023-06-03,23:00:00,16.87333333,23.1,0.5,0,SP_2
155,2023-06-04,0:00:00,16.03333333,22.98,0.5,0,SP_2
155,2023-06-04,1:00:00,15.82333333,22.956,0.5,0,SP_2
155,2023-06-04,2:00:00,15.19833333,22.7645,0.5,0,SP_2
155,2023-06-04,3:00:00,14.60166667,22.693,0.5,0,SP_2
155,2023-06-04,4:00:00,14.97833333,22.573,0.5,0,SP_2
155,2023-06-04,5:00:00,16.00666667,22.477,0.5,0,SP_2
155,2023-06-04,6:00:00,17.37333333,22.525,0.5,0,SP_2
155,2023-06-04,7:00:00,19.62166667,22.477,0.5,0,SP_2
155,2023-06-04,8:00:00,21.75666667,22.93225,0.5,0,SP_2
155,2023-06-04,9:00:00,22.67333333,23.62875,0.5,0,SP_2
155,2023-06-04,10:00:00,23.63166667,24.30325,0.5,0,SP_2
155,2023-06-04,11:00:00,24.63833333,24.85875,0.5,0,SP_2
155,2023-06-04,12:00:00,25.56333333,25.2705,0.5,0,SP_2
155,2023-06-04,13:00:00,26.19,25.416,0.5,0,SP_2
155,2023-06-04,14:00:00,26.60166667,25.659,0.5,0,SP_2
155,2023-06-04,15:00:00,26.86166667,25.878,0.5,0,SP_2
155,2023-06-04,16:00:00,27.09833333,25.3675,0.5,0,SP_2
155,2023-06-04,17:00:00,26.78166667,25.1735,0.5,0,SP_2
155,2023-06-04,18:00:00,24.95,25.0765,0.5,0,SP_2
155,2023-06-04,19:00:00,24.80666667,25.0765,0.5,0,SP_2
155,2023-06-04,20:00:00,22.24666667,25.24625,0.5,0,SP_2
155,2023-06-04,21:00:00,20.27166667,25.0525,0.5,0,SP_2
155,2023-06-04,22:00:00,19.065,24.9555,0.5,0,SP_2
155,2023-06-04,23:00:00,18.565,24.81075,0.5,0,SP_2
156,2023-06-05,0:00:00,17.90833333,24.569,0.5,0,SP_2
156,2023-06-05,1:00:00,17.64166667,24.448,0.5,0,SP_2
156,2023-06-05,2:00:00,17.465,24.279,0.5,0,SP_2
156,2023-06-05,3:00:00,17.68,24.15825,0.5,0,SP_2
156,2023-06-05,4:00:00,17.26833333,23.99,0.5,0,SP_2
156,2023-06-05,5:00:00,17.76666667,23.82125,0.5,0,SP_2
156,2023-06-05,6:00:00,19.785,23.773,0.5,0,SP_2
156,2023-06-05,7:00:00,20.845,23.89325,0.5,0,SP_2
156,2023-06-05,8:00:00,21.71666667,24.13425,0.5,0,SP_2
156,2023-06-05,9:00:00,22.60666667,24.25475,0.5,0,SP_2
156,2023-06-05,10:00:00,23.54833333,24.95575,0.5,0,SP_2
156,2023-06-05,11:00:00,24.36,25.39175,0.5,0,SP_2
156,2023-06-05,12:00:00,24.835,25.85375,0.5,0,SP_2
156,2023-06-05,13:00:00,25.16833333,26.1705,0.5,0,SP_2
156,2023-06-05,14:00:00,25.12666667,26.09725,0.5,0,SP_2
156,2023-06-05,15:00:00,24.76666667,25.68325,0.5,0,SP_2
156,2023-06-05,16:00:00,24.305,25.635,0.5,0,SP_2
156,2023-06-05,17:00:00,23.56166667,25.659,0.5,0,SP_2
